Model Type,Layers,Units per Layer,Epochs,Batch Size,Training Loss,Validation Loss,Time Taken (s)
LSTM,4,150,50,32,0.0024523043539375067,0.002945524174720049,177.9260437488556
LSTM,4,150,50,64,0.0028109601698815823,0.002912701340392232,139.20418667793274
GRU,2,50,25,32,0.004530145786702633,0.0028492819983512163,16.449110746383667
GRU,2,50,25,64,0.02878144010901451,0.01422982569783926,10.8349928855896
GRU,2,50,50,32,0.0031167359557002783,0.0027022147551178932,29.191982984542847
GRU,2,50,50,64,0.004291391931474209,0.0036665359511971474,21.48509693145752
GRU,2,100,25,32,0.003956931643188,0.004234131425619125,26.539877891540527
GRU,2,100,25,64,0.006871635559946299,0.0032104672864079475,19.742995977401733
GRU,2,100,50,32,0.002720124553889036,0.003113535000011325,50.74774789810181
GRU,2,100,50,64,0.0032367389649152756,0.0032639631535857916,39.470545053482056
GRU,2,150,25,32,0.004282242618501186,0.004015733953565359,41.18579602241516
GRU,2,150,25,64,0.009221838787198067,0.005029209889471531,37.767354011535645
GRU,2,150,50,32,0.002553759142756462,0.0030547173228114843,84.98350691795349
GRU,2,150,50,64,0.00318296835757792,0.0038876631297171116,65.80795812606812
GRU,3,50,25,32,0.003919221460819244,0.0026593089569360018,24.844269037246704
GRU,3,50,25,64,0.029154503718018532,0.015213128179311752,17.018237829208374
GRU,3,50,50,32,0.0037351639475673437,0.0035579320974648,46.97136998176575
GRU,3,50,50,64,0.0037336486857384443,0.0025677361991256475,32.48216009140015
GRU,3,100,25,32,0.004460479598492384,0.005269990302622318,41.55583381652832
GRU,3,100,25,64,0.00549820763990283,0.0036804676055908203,32.97142696380615
GRU,3,100,50,32,0.002399686025455594,0.0028791772201657295,84.1361141204834
GRU,3,100,50,64,0.0026188227348029613,0.002099663717672229,63.482117891311646
GRU,3,150,25,32,0.006177088711410761,0.005597527138888836,64.15820407867432
GRU,3,150,25,64,0.0046663410030305386,0.004330498166382313,53.918601274490356
GRU,3,150,50,32,0.0032998444512486458,0.0041939690709114075,125.94689989089966
GRU,3,150,50,64,0.002946026623249054,0.0028213709592819214,111.40595507621765
GRU,4,50,25,32,0.004041840322315693,0.0024561784230172634,32.51449489593506
GRU,4,50,25,64,0.023325685411691666,0.009395782835781574,23.084078073501587
GRU,4,50,50,32,0.0026055697817355394,0.0027652550488710403,66.1906590461731
GRU,4,50,50,64,0.003158438950777054,0.0023194283712655306,44.25744009017944
GRU,4,100,25,32,0.004500218201428652,0.005006025079637766,59.201200008392334
GRU,4,100,25,64,0.0050345840863883495,0.004016854800283909,45.74021005630493
GRU,4,100,50,32,0.0033915729727596045,0.004487697966396809,111.4119668006897
GRU,4,100,50,64,0.002635149983689189,0.002368334447965026,83.20227289199829
GRU,4,150,25,32,0.003111511003226042,0.0025001426693052053,84.5477340221405
GRU,4,150,25,64,0.005653877276927233,0.006084158085286617,78.18191289901733
GRU,4,150,50,32,0.00310078845359385,0.005216369871050119,176.57878708839417
GRU,4,150,50,64,0.006447180639952421,0.006549168843775988,167.3589460849762
RNN,2,50,25,32,0.0028310574125498533,0.0022795512340962887,6.5390589237213135
RNN,2,50,25,64,0.0032506119459867477,0.0022245736327022314,4.509155035018921
RNN,2,50,50,32,0.002157850656658411,0.0019124194514006376,12.191588878631592
RNN,2,50,50,64,0.002131829736754298,0.0015376019291579723,8.10394811630249
RNN,2,100,25,32,0.0035805145744234324,0.0035494216717779636,9.856481790542603
RNN,2,100,25,64,0.0039575775153934956,0.002665970241650939,7.574738025665283
RNN,2,100,50,32,0.0036496713291853666,0.0023404653184115887,18.64589786529541
RNN,2,100,50,64,0.0025893691927194595,0.0020177310798317194,14.232655763626099
RNN,2,150,25,32,0.0033482862636446953,0.0036193716805428267,15.49528193473816
RNN,2,150,25,64,0.00787302479147911,0.005569732282310724,13.057261943817139
RNN,2,150,50,32,0.001884853350929916,0.0027061235159635544,32.54393434524536
RNN,2,150,50,64,0.0016637358348816633,0.0010548728751018643,23.662724018096924
RNN,3,50,25,32,0.00577680254355073,0.005697676911950111,9.753151893615723
RNN,3,50,25,64,0.015237400308251381,0.01573500595986843,6.727174997329712
RNN,3,50,50,32,0.0037315955851227045,0.003355828346684575,18.885040044784546
RNN,3,50,50,64,0.003414203878492117,0.0018284193938598037,12.396981000900269
RNN,3,100,25,32,0.0033885505981743336,0.001587020349688828,15.428147077560425
RNN,3,100,25,64,0.014054931700229645,0.016777561977505684,11.529955863952637
RNN,3,100,50,32,0.0028673531487584114,0.003362306160852313,31.14805579185486
RNN,3,100,50,64,0.0025507884565740824,0.001469764276407659,22.40633225440979
RNN,3,150,25,32,0.06329886615276337,0.010971044190227985,24.34590721130371
RNN,3,150,25,64,0.004863944370299578,0.0038148320745676756,21.052372932434082
RNN,3,150,50,32,0.008464908227324486,0.009111272171139717,47.06389307975769
RNN,3,150,50,64,0.00971866026520729,0.012357291765511036,41.70985293388367
RNN,4,50,25,32,0.019122114405035973,0.021955320611596107,14.55998420715332
RNN,4,50,25,64,0.028169259428977966,0.01739536039531231,9.1566801071167
RNN,4,50,50,32,0.00863052997738123,0.011053360998630524,26.142147064208984
RNN,4,50,50,64,0.010799447074532509,0.012764752842485905,17.31941318511963
RNN,4,100,25,32,0.021874388679862022,0.005396863911300898,21.354133129119873
RNN,4,100,25,64,0.035745881497859955,0.04094916582107544,16.214639902114868
RNN,4,100,50,32,0.021717814728617668,0.009554979391396046,41.6829309463501
RNN,4,100,50,64,0.00840840209275484,0.012489434331655502,34.462554931640625
RNN,4,150,25,32,0.06571204960346222,0.06296112388372421,33.67669081687927
RNN,4,150,25,64,0.06445847451686859,0.04298713430762291,386.1915190219879
RNN,4,150,50,32,0.019857220351696014,0.018558187410235405,65.61931276321411
RNN,4,150,50,64,0.07024340331554413,0.025429708883166313,54.31689500808716
